[16:04:07.084] Created Window
[16:04:07.112] Setup Shaders
[16:04:07.461] Setup Player
[16:04:07.707] Setup Scene Graph
[16:04:07.775] Entering Render Loop
[16:04:13.146] Vector3f[-67.5, -4.4999957, 0.0]
[16:04:13.146] Vector3f[-67.5, -4.5999956, 0.0]
[16:04:13.146] Vector3f[-67.5, -4.6999955, 0.0]
[16:04:13.146] Vector3f[-67.5, -4.7999954, 0.0]
[16:04:13.146] Vector3f[-67.5, -4.8999953, 0.0]
[16:04:13.147] Vector3f[-67.5, -4.999995, 0.0]
[16:04:13.147] Vector3f[-67.5, -5.099995, 0.0]
[16:04:13.147] Vector3f[-67.5, -5.199995, 0.0]
[16:04:13.147] Vector3f[-67.5, -5.299995, 0.0]
[16:04:13.147] Vector3f[-67.5, -5.399995, 0.0]
[16:04:13.148] Vector3f[-67.5, -5.4999948, 0.0]
[16:04:13.148] Vector3f[-67.5, -5.5999947, 0.0]
[16:04:13.148] Vector3f[-67.5, -5.6999946, 0.0]
[16:04:13.148] Vector3f[-67.5, -5.7999945, 0.0]
[16:04:13.148] Vector3f[-67.5, -5.8999944, 0.0]
[16:04:13.149] Vector3f[-67.5, -5.9999943, 0.0]
[16:04:13.149] Vector3f[-67.5, -6.099994, 0.0]
[16:04:13.149] Vector3f[-67.5, -6.199994, 0.0]
[16:04:13.149] Vector3f[-67.5, -6.299994, 0.0]
[16:04:13.149] Vector3f[-67.5, -6.399994, 0.0]
[16:04:13.149] Vector3f[-67.5, -6.499994, 0.0]
[16:04:13.150] Vector3f[-67.5, -6.5999937, 0.0]
[16:04:13.150] Vector3f[-67.5, -6.6999936, 0.0]
[16:04:13.150] Vector3f[-67.5, -6.7999935, 0.0]
[16:04:13.150] Vector3f[-67.5, -6.8999934, 0.0]
[16:04:13.150] Vector3f[-67.5, -6.9999933, 0.0]
[16:04:13.150] Vector3f[-67.5, -7.099993, 0.0]
[16:04:13.151] Vector3f[-67.5, -7.199993, 0.0]
[16:04:13.151] Vector3f[-67.5, -7.299993, 0.0]
[16:04:13.151] Vector3f[-67.5, -7.399993, 0.0]
[16:04:13.151] Vector3f[-67.5, -7.499993, 0.0]
[16:04:13.151] Vector3f[-67.5, -7.5999928, 0.0]
[16:04:13.152] Vector3f[-67.5, -7.6999927, 0.0]
[16:04:13.152] Vector3f[-67.5, -7.7999926, 0.0]
[16:04:13.152] Vector3f[-67.5, -7.8999925, 0.0]
[16:04:13.152] Vector3f[-67.5, -7.9999924, 0.0]
[16:04:13.152] Vector3f[-67.5, -8.099993, 0.0]
[16:04:13.152] Vector3f[-67.5, -8.199993, 0.0]
[16:04:13.152] Vector3f[-67.5, -8.2999935, 0.0]
[16:04:13.153] Vector3f[-67.5, -8.399994, 0.0]
[16:04:13.153] Vector3f[-67.5, -8.499994, 0.0]
[16:04:13.154] Vector3f[-67.5, -8.599995, 0.0]
[16:04:13.154] Vector3f[-67.5, -8.699995, 0.0]
[16:04:13.154] Vector3f[-67.5, -8.799995, 0.0]
[16:04:13.154] Vector3f[-67.5, -8.899996, 0.0]
[16:04:13.154] Vector3f[-67.5, -8.999996, 0.0]
[16:04:13.154] Vector3f[-67.5, -9.099997, 0.0]
[16:04:13.155] Vector3f[-67.5, -9.199997, 0.0]
[16:04:13.155] Vector3f[-67.5, -9.299997, 0.0]
[16:04:13.155] Vector3f[-67.5, -9.399998, 0.0]
[16:04:13.155] Vector3f[-67.5, -9.499998, 0.0]
[16:04:13.155] Vector3f[-67.5, -9.599998, 0.0]
[16:04:13.155] Vector3f[-67.5, -9.699999, 0.0]
[16:04:13.156] Vector3f[-67.5, -9.799999, 0.0]
[16:04:13.156] Vector3f[-67.5, -9.9, 0.0]
[16:04:13.156] Vector3f[-67.5, -10.0, 0.0]
[16:04:13.156] Vector3f[-67.5, -10.1, 0.0]
[16:04:13.156] Vector3f[-67.5, -10.200001, 0.0]
[16:04:13.157] Vector3f[-67.5, -10.300001, 0.0]
[16:04:13.157] Vector3f[-67.5, -10.400002, 0.0]
[16:04:13.157] Vector3f[-67.5, -10.500002, 0.0]
[16:04:13.158] Vector3f[-67.5, -10.600002, 0.0]
[16:04:13.158] Vector3f[-67.5, -10.700003, 0.0]
[16:04:13.159] Vector3f[-67.5, -10.800003, 0.0]
[16:04:13.159] Vector3f[-67.5, -10.900003, 0.0]
[16:04:13.159] Vector3f[-67.5, -11.000004, 0.0]
[16:04:13.159] Vector3f[-67.5, -11.100004, 0.0]
[16:04:13.159] Vector3f[-67.5, -11.200005, 0.0]
[16:04:13.159] Vector3f[-67.5, -11.300005, 0.0]
[16:04:13.159] Vector3f[-67.5, -11.400005, 0.0]
[16:04:13.160] Vector3f[-67.5, -11.500006, 0.0]
[16:04:13.160] Vector3f[-67.5, -11.600006, 0.0]
[16:04:13.160] Vector3f[-67.5, -11.7000065, 0.0]
[16:04:13.160] Vector3f[-67.5, -11.800007, 0.0]
[16:04:13.160] Vector3f[-67.5, -11.900007, 0.0]
[16:04:13.160] Vector3f[-67.5, -12.000008, 0.0]
[16:04:13.160] Vector3f[-67.5, -12.100008, 0.0]
[16:04:13.160] Vector3f[-67.5, -12.200008, 0.0]
[16:04:13.161] Vector3f[-67.5, -12.300009, 0.0]
[16:04:13.161] Vector3f[-67.5, -12.400009, 0.0]
[16:04:13.161] Vector3f[-67.5, -12.50001, 0.0]
[16:04:13.161] Vector3f[-67.5, -12.60001, 0.0]
[16:04:13.161] Vector3f[-67.5, -12.70001, 0.0]
[16:04:13.161] Vector3f[-67.5, -12.800011, 0.0]
[16:04:13.162] Vector3f[-67.5, -12.900011, 0.0]
[16:04:13.162] Vector3f[-67.5, -13.000011, 0.0]
[16:04:13.162] Vector3f[-67.5, -13.100012, 0.0]
[16:04:13.162] Vector3f[-67.5, -13.200012, 0.0]
[16:04:13.162] Vector3f[-67.5, -13.300013, 0.0]
[16:04:13.162] Vector3f[-67.5, -13.400013, 0.0]
[16:04:13.163] Vector3f[-67.5, -13.500013, 0.0]
[16:04:13.163] Vector3f[-67.5, -13.600014, 0.0]
[16:04:13.163] Vector3f[-67.5, -13.700014, 0.0]
[16:04:13.163] Vector3f[-67.5, -13.8000145, 0.0]
[16:04:13.163] Vector3f[-67.5, -13.900015, 0.0]
[16:04:13.163] Vector3f[-67.5, -14.000015, 0.0]
[16:04:13.164] Vector3f[-67.5, -14.100016, 0.0]
[16:04:13.164] Vector3f[-67.5, -14.200016, 0.0]
